phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
planning,1,13334.0273561946,13357.8520907051,23.8247345105265,87.362334676023+0.168460270329386i,87.3400963396029+0.168463422666386i,-0.022238336420159+3.1523369998232e-06i,,,0.906677323336642,4758,4768
dwelling,17,13357.8520907051,13741.7347596034,383.882668898223,87.3400963396029+0.168463422666386i,86.9819098140421+0.16851439064111i,-0.358186525560811+5.09679747239256e-05i,,16.9666664785715,,4768,4938
planning,0.6,13741.7347596034,13757.9867648446,16.252005241191,86.9819098140421+0.16851439064111i,86.966712998108+0.168516572168084i,-0.0151968159340896+2.1815269743708e-06i,,,0.582026294945046,4938,4944
traveling,5.7,13757.9867648446,13920.112769243,162.126004398398,86.966712998108+0.168516572168084i,86.8150050981063+0.168538424639647i,-0.151707900001682+2.18524715624169e-05i,5.90276832063149,,,4944,5001
planning,0.6,13920.112769243,13936.3821875276,16.2694182846735,86.8150050981063+0.168538424639647i,86.799789625367+0.168540618152577i,-0.0152154727392997+2.1935129299322e-06i,,,0.544474758359375,5001,5007
dwelling,17,13936.3821875276,14290.257177336,353.874989808399,86.799789625367+0.168540618152577i,86.4697139566106+0.168588140355971i,-0.330075668756407+4.75222033941569e-05i,,16.9919162977537,,5007,5177
planning,0.4,14290.257177336,14299.536884476,9.27970713998366,86.4697139566106+0.168588140355971i,86.4610480597915+0.168589395923729i,-0.00866589681913865+1.25556775851243e-06i,,,0.327823877494502,5177,5181
traveling,7.29999999999999,14299.536884476,14503.5299903652,203.993105889211,86.4610480597915+0.168589395923729i,86.2700730715011+0.168617269407091i,-0.190974988290392+2.78734833616678e-05i,7.2937499644032,,,5181,5254
planning,0.4,14503.5299903652,14512.378148727,8.84815836179223,86.2700730715011+0.168617269407091i,86.2618127343972+0.168618470943293i,-0.00826033710390561+1.20153620208896e-06i,,,0.378426231334607,5254,5258
dwelling,17.4,14512.378148727,14886.556886789,374.178738062021,86.2618127343972+0.168618470943293i,85.9125242249234+0.168669474638912i,-0.349288509473752+5.10036956187232e-05i,,17.3666664485773,,5258,5432
