phase_type,duration,energy_start,energy_end,energy_consumed,battery_start,battery_end,battery_delta,rho,tau,planning_time,start_time,end_time
traveling,5.4,12038.4169092223,12190.4012176001,151.984308377721,99.8339011665056+0.00382432479266247i,99.8318721868987+0.00382432907911049i,-0.0020289796069477+4.28644801901343e-09i,5.52874914476473,,,3823,3877
planning,0.5,12190.4012176001,12204.1864455149,13.7852279148374,99.8318721868987+0.00382432907911049i,99.8316882040947+0.0038243294676036i,-0.000183982803989124+3.88493109210186e-10i,,,0.469758776292843,3877,3882
dwelling,14,12204.1864455149,12516.3677720225,312.181326507618,99.8316882040947+0.0038243294676036i,99.8275313084201+0.00382433820519639i,-0.00415689567459765+8.73759279339248e-09i,,13.9540715221309,,3882,4022
planning,0.8,12516.3677720225,12536.046475609,19.6787035864418,99.8275313084201+0.00382433820519639i,99.8272690114843+0.00382433875769975i,-0.00026229693584412+5.52503364673745e-10i,,,0.7656981256747,4022,4030
traveling,6.69999999999999,12536.046475609,12743.706611112,207.660135503036,99.8272690114843+0.00382433875769975i,99.8244921788875+0.00382434464563359i,-0.00277683259677985+5.88793383276762e-09i,6.73957622963128,,,4030,4097
planning,0.7,12743.706611112,12761.3572741408,17.650663028784,99.8244921788875+0.00382434464563359i,99.8242568491709+0.00382434514167229i,-0.000235329716574029+4.96038698831469e-10i,,,0.656487934875432,4097,4104
dwelling,14.9,12761.3572741408,13111.5190840377,350.161809896892,99.8242568491709+0.00382434514167229i,99.8195916017644+0.00382435496216946i,-0.00466524740652119+9.82049717761224e-09i,,14.8333332384196,,4104,4253
planning,0.3,13111.5190840377,13118.5197158365,7.00063179880453,99.8195916017644+0.00382435496216946i,99.8194983419211+0.00382435515845994i,-9.32598432541454e-05+1.96290480397598e-10i,,,0.26818637266786,4253,4256
traveling,6.39999999999999,13118.5197158365,13314.8403113323,196.320595495859,99.8194983419211+0.00382435515845994i,99.8168724574324+0.00382436073122333i,-0.002625884488765+5.57276338139859e-09i,6.47472274170183,,,4256,4320
planning,0.6,13314.8403113323,13330.4084531037,15.568141771324,99.8168724574324+0.00382436073122333i,99.8166648259064+0.00382436116930849i,-0.000207631525995566+4.38085165799934e-10i,,,0.569745499842289,4320,4326
